Date,Time,Status,Test,Playback,Primates.Present,Net ,Plot,Stimulus,Experiment,Catches,I_Score,FG_Score,O_Score,N_Score,Catch Spc.
16-Aug,07:40,Y,Control,Silent,N,Top,E,N,18,2,0,0,1,1,"Olive Sunbird, Red Tailed Bristlebill"
16-Aug,07:40,Y,Playback,Mangabey,N,Bottom,F,OGM2,18,0,0,0,0,0,
16-Aug,08:15,Y,Playback,Black Colobus,N,Top,E,OBC5,19,0,0,0,0,0,
16-Aug,08:15,Y,Control,Silent,Olive Baboon,Bottom,F,N,19,1,0,0,0,1,Olive Sunbird
16-Aug,08:50,Y,Control,Silent,N,Top,E,N,20,0,0,0,0,0,
16-Aug,08:50,Y,Playback,Red Colobus,Olive Baboon,Bottom,F,ORC5,20,0,0,0,0,0,
16-Aug,09:25,Y,Playback,Red Colobus,N,Top,E,ORC1,21,0,0,0,0,0,
16-Aug,09:25,Y,Control,Silent,Red Colobus,Bottom,F,N,21,1,0,0,1,0,Yellow Whiskered Greenbul
16-Aug,10:00,Y,Control,Silent,N,Top,E,N,22,1,0,0,0,1,Olive Sunbird
16-Aug,10:00,Y,Playback,Black Colobus,N,Bottom,F,OBC5,22,0,0,0,0,0,
16-Aug,10:35,Y,Playback,Black Colobus,N,Top,E,OBC3,23,0,0,0,0,0,
16-Aug,10:35,Y,Control,Silent,N,Bottom,F,N,23,1,0,0,1,0,Plain Greenbul
16-Aug,11:10,Y,Control,Silent,N,Top,E,N,24,1,0,0,0,1,Olive Sunbird
16-Aug,11:10,Y,Playback,Mangabey,N,Bottom,F,OGM1,24,0,0,0,0,0,
18-Aug,07:25,Delayed,Playback,Chimpanzee,N,Top,E,CZ1,25,0,0,0,0,0,
18-Aug,07:25,Delayed,Control,Silent,N,Bottom,F,N,25,0,0,0,0,0,
18-Aug,08:00,Delayed,Control,Silent,N,Top,E,N,26,1,0,0,1,0,Yellow Whiskered Greenbul
18-Aug,08:00,Delayed,Playback,Red Colobus,N,Bottom,F,NRC1,26,0,0,0,0,0,
18-Aug,08:35,Delayed,Playback,Mangabey,Red Colobus,Top,E,NGM1,27,0,0,0,0,0,
18-Aug,08:35,Delayed,Control,Silent,N,Bottom,F,N,27,0,0,0,0,0,
18-Aug,09:10,Delayed,Control,Silent,N,Top,E,N,28,0,0,0,0,0,
18-Aug,09:10,Delayed,Playback,Black Colobus,N,Bottom,F,NBC1,28,0,0,0,0,0,
18-Aug,09:45,Delayed,Playback,Black Colobus,N,Top,E,NBC2,29,0,0,0,0,0,
18-Aug,09:45,Delayed,Control,Silent,N,Bottom,F,N,29,0,0,0,0,0,
18-Aug,10:20,Delayed,Control,Silent,N,Top,E,N,30,0,0,0,0,0,
18-Aug,10:20,Delayed,Playback,Mangabey,N,Bottom,F,NGM2,30,0,0,0,0,0,
18-Aug,10:55,Delayed,Playback,Red Colobus,N,Top,E,NRC2,31,0,0,0,0,0,
18-Aug,10:55,Delayed,Control,Silent,N,Bottom,F,N,31,0,0,0,0,0,
18-Aug,11:35,Delayed,Control,Silent,N,Top,E,N,32,0,0,0,0,0,
